time,low,high,open,close,volume
1641772800,2928.69,3180.29,3151.65,3083.51,260769.14044553
1641772800,2928.69,3180.29,3151.65,3083.51,260769.14044553
1641686400,3057.82,3212.46,3080.92,3151.66,131897.75381912
1641600000,3000.0,3247.89,3198.96,3080.48,231676.12058726
1641513600,3065.0,3415.52,3405.66,3198.82,376752.15627171
1641427200,3300.0,3550.02,3539.0,3406.03,282771.63777278
1641340800,3414.88,3848.2,3785.0,3539.0,240345.13859808
1641254400,3714.22,3894.12,3766.01,3785.0,148752.52638971
1641168000,3681.62,3851.66,3828.93,3766.04,106574.13357834
1641081600,3718.2,3855.77,3765.98,3828.87,78466.35113548
1640995200,3674.02,3777.82,3675.81,3765.72,98353.62552826
1640908800,3619.78,3815.04,3710.01,3675.8,171634.96154996
1640822400,3585.85,3769.99,3630.18,3710.02,155011.95096414
1640736000,3603.0,3828.18,3793.66,3630.59,167709.4231065
1640649600,3760.01,4038.68,4038.18,3793.67,203399.82203323
1640563200,4027.56,4128.9,4066.14,4038.64,108344.57109844
1640476800,4008.01,4106.5,4098.67,4065.91,66848.08372392
1640390400,4021.31,4143.13,4049.81,4097.43,68854.05530395
1640304000,4005.0,4138.71,4113.64,4049.65,109472.89747679
1640217600,3895.7,4157.82,3980.82,4113.08,180980.07790929
1640131200,3933.74,4075.0,4017.35,3981.12,110316.26044274
1640044800,3908.13,4063.89,3946.59,4017.11,137991.50149241
1639958400,3754.8,3984.08,3925.78,3946.16,172027.91571974
1639872000,3886.03,4039.73,3961.93,3925.79,102078.81232557
1639785600,3768.14,3999.0,3876.37,3961.92,113485.77521903
1639699200,3699.0,3994.81,3957.12,3876.02,209823.26509135
1639612800,3952.81,4116.39,4021.41,3957.28,174285.93324831
1639526400,3643.43,4097.0,3860.72,4021.53,319094.24570016
1639440000,3686.49,3884.08,3784.0,3860.74,197099.24204846
1639353600,3660.0,4146.1,4132.91,3783.81,305712.33000025
1639267200,3989.41,4186.16,4091.17,4132.92,108368.85746466
1639180800,3835.0,4099.87,3899.97,4091.18,166327.13830459
1639094400,3889.42,4232.38,4105.99,3900.91,273780.7217072
1639008000,4076.15,4490.72,4440.94,4106.06,222048.28315781
1638921600,4226.88,4456.36,4310.21,4440.51,186740.13696568
1638835200,4260.0,4433.99,4354.09,4310.19,198306.85854675
1638748800,3913.0,4380.8,4203.22,4354.22,349333.84787974
1638662400,4038.13,4257.0,4123.13,4203.22,250275.13989584
1638576000,3575.0,4240.0,4216.3,4123.13,512946.90714235
1638489600,4035.0,4662.75,4514.54,4216.93,312836.25058642
1638403200,4435.0,4637.39,4586.87,4514.59,171913.60834148
1638316800,4526.94,4784.5,4636.43,4586.95,241301.695591
1638230400,4350.91,4759.0,4449.42,4634.95,312105.05293146
1638144000,4282.07,4466.0,4298.38,4449.42,170935.20731881
1638057600,3950.0,4303.35,4098.53,4298.38,124752.71262005
1637971200,4031.56,4186.97,4043.62,4098.31,93299.56271946
1637884800,3915.0,4555.53,4527.03,4043.67,324817.57682312
1637798400,4250.0,4555.11,4270.93,4525.87,132338.28173546
1637712000,4168.99,4359.88,4341.58,4270.74,120268.67729032
1637625600,4062.28,4389.95,4089.17,4341.62,159935.23797902
1637539200,4024.45,4322.86,4263.04,4089.16,174572.98932477
1637452800,4246.07,4427.72,4416.36,4262.99,83775.31676078
1637366400,4206.03,4438.96,4299.55,4416.69,96882.12097892
1637280000,3975.24,4314.82,3998.57,4299.55,191232.56135587
1637193600,3960.0,4346.42,4289.4,3997.93,291477.64786245
1637107200,4068.24,4300.01,4209.89,4289.4,197969.47328462
