Date,Open,High,Low,Close,Volume
2021-01-20 16:00,1274.7,1314.2,1249.8,1312.0,119494448.016
2021-01-20 17:00,1312.0,1318.8,1288.0,1312.2,45406917.2255
2021-01-20 18:00,1312.2,1322.1,1303.3,1318.8,35687267.2806
2021-01-20 19:00,1318.8,1353.5,1314.7,1348.1,61295111.7598
2021-01-20 20:00,1348.2,1357.0,1325.7,1333.8,52611947.8509
2021-01-20 21:00,1333.8,1342.0,1305.8,1323.7,55983928.9843
2021-01-20 22:00,1323.7,1343.4,1315.5,1335.4,27677227.7254
2021-01-20 23:00,1335.4,1391.4,1322.0,1379.9,76869769.1766
2021-01-21 00:00,1379.6,1390.9,1354.7,1365.5,59503720.6553
2021-01-21 01:00,1365.5,1371.0,1329.4,1339.8,52548930.568
2021-01-21 02:00,1339.8,1343.4,1312.7,1330.7,64913683.1122
2021-01-21 03:00,1330.7,1340.8,1307.5,1327.1,52004616.1974
2021-01-21 04:00,1327.0,1337.6,1281.1,1287.9,74835932.1932
2021-01-21 05:00,1288.0,1308.5,1278.5,1306.4,65204066.0487
2021-01-21 06:00,1306.4,1317.0,1298.7,1309.5,53284830.3358
2021-01-21 07:00,1309.6,1324.5,1301.5,1309.6,42829761.2082
2021-01-21 08:00,1309.6,1313.1,1259.2,1259.8,86542816.555
2021-01-21 09:00,1259.8,1274.7,1229.9,1260.8,235162012.4537
2021-01-21 10:00,1260.8,1267.5,1221.6,1249.2,121239627.3113
2021-01-21 11:00,1249.2,1258.5,1234.8,1236.5,59575730.9977
2021-01-21 12:00,1236.3,1252.3,1190.0,1242.3,144353874.0404
2021-01-21 13:00,1242.3,1261.5,1232.5,1237.1,92718543.6424
2021-01-21 14:00,1237.1,1245.0,1193.5,1203.1,131878505.4769
2021-01-21 15:00,1202.9,1232.0,1183.3,1186.5,148559809.1726
2021-01-21 16:00,1187.1,1219.5,1163.6,1169.3,165140716.6822
2021-01-21 17:00,1169.3,1200.8,1165.8,1195.0,109890861.0983
2021-01-21 18:00,1195.0,1202.4,1181.2,1190.1,74750193.1545
